PTS_HOME,PTS_AWAY,TEAM_NAME_HOME,TEAM_NAME_AWAY,GAME_DATE
80,86,Toronto Raptors,Portland Trail Blazers,2000-11-16
111,102,Toronto Raptors,Milwaukee Bucks,2000-11-18
64,100,Toronto Raptors,Charlotte Hornets,2000-11-20
91,111,Indiana Pacers,Toronto Raptors,2000-11-23
75,79,New York Knicks,Toronto Raptors,2000-11-25
101,89,Toronto Raptors,Chicago Bulls,2000-11-26
107,93,Dallas Mavericks,Toronto Raptors,2000-11-28
103,79,Charlotte Hornets,Toronto Raptors,2000-11-29
104,95,Toronto Raptors,Los Angeles Clippers,2000-12-01
98,84,Utah Jazz,Toronto Raptors,2000-12-05
95,88,Portland Trail Blazers,Toronto Raptors,2000-12-06
92,108,Golden State Warriors,Toronto Raptors,2000-12-08
87,95,Toronto Raptors,Phoenix Suns,2000-12-10
104,90,Toronto Raptors,Indiana Pacers,2000-12-12
70,68,Toronto Raptors,New York Knicks,2000-12-14
104,97,Milwaukee Bucks,Toronto Raptors,2000-12-15
101,104,Toronto Raptors,Los Angeles Lakers,2000-12-17
103,95,Toronto Raptors,Utah Jazz,2000-12-19
